classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,yjkc20141000015849,大数据分析中的算法,必修,3,上课教室：理教402,周四1-2双 ，周一3-4 ,1-16,文再文(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20141000015849&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20150900018768,几何分析与广义相对论讨论班,选修,3,,周二3-4 ,1-16,史宇光(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150900018768&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20161000022094,计算系统生物学,选修,3,,周四3-4单 一教204，周二5-6 一教204,1-16,张磊(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161000022094&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20161100022515,基础代数几何,选修,3,上课教室：三教301,周五1-2单 ，周三3-4 ,1-16,訚琪峥(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161100022515&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20170500024197,多复变函数论选讲,选修,3,,周四3-4 三教404，周二1-2双 三教404,1-16,关启安(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20170500024197&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20150100016722,图像重建与处理讨论班,选修,3,,周三7-9 ,1-16,杨建生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150100016722&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20171100025067,现代统计模型,必修,3,,周五3-4 三教306，周二5-6双 三教306,1-16,林伟(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20171100025067&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20180300026594,图像科学讨论班,选修,3,,周三7-9 ,1-16,董彬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20180300026594&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20190100030251,期货衍生品理论与实务,选修,2,仅限数院金融学，应统专硕，光华金融学，经院保险学选修,周五10-12 一教307,1-16,吴岚(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20190100030251&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20190400030705,复杂结构动态数据分析讨论班,选修,3,,周一7-9 ,1-16,姚方(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20190400030705&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20190500031409,数论专题II,选修,3,,周三5-6双 三教508，周一5-6 三教508,1-16,丁一文(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20190500031409&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20190800032248,论文写作指导,必修,1,,周二3-4 一教201,1-9,杨凤霞(副编审)，孙猛(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20190800032248&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20190800032283,专业学位硕士论文写作指导,必修,1,仅限数院金融学，应统专硕，光华金融学，经院保险学选修,周一10-11 理教106,1-8,吴岚(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20190800032283&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20191100032806,统计学和生物统计中的因果推断,选修,3,,周三3-4单 二教316，周一5-6 二教316,1-16,周晓华(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20191100032806&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20200300034382,智能、量子与计算讨论班,选修,3,,周五3-4 一教302,1-16,邵嗣烘(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20200300034382&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20200500035135,符号计算与程序验证讨论班,选修,3,,周四7-8 ,1-16,夏壁灿(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20200500035135&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20201100036957,高维统计讨论班,选修,3,,周三7-9 ,1-16,林伟(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20201100036957&kclx=YJ,22-23,2,YJSKB,00001
00,yjkc20201100037016,大数据案例实务,必修,3,,周三10-12 二教317,1-16,房祥忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20201100037016&kclx=YJ,22-23,2,YJSKB,00001
