classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,YKC00110110AT0004479,实分析,必修,3,,周五3-4双 三教503，周三3-4 三教503,1-16,刘和平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110110AT0004479&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00110940AT0000079,复分析,必修,3,,周三7-9 三教404,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110940AT0000079&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00110030AT0004476,微分拓扑,必修,3,,周四3-4单 文史219，周一1-2 文史219,1-16,丁  帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110030AT0004476&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00109217C12950R51,辛几何,选修,3,,周三11-13 ,1-16,田  刚(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00109217C12950R51&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00111140AT0000100,近代偏微分方程,必修,3,,周二7-9 文史119,1-16,王保祥(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111140AT0000100&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00108A31C12720R56,线性代数群,选修,3,,周四3-4双 三教103，周一3-4 三教103,1-16,安金鹏(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00108A31C12720R56&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00113670AT0000207,近代数学物理方法,选修,3,,周三9-11 二教206,1-16,刘张炬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00113670AT0000207&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00110170AT0004485,代数数论,选修,3,,周五3-4单 三教501，周二3-4 三教501,1-16,高  峡(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110170AT0004485&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00110190AT0004487,动力系统( 微分动力系统或拓扑动力系统 ),选修,3,,周二7-9 理教114,1-16,文  兰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110190AT0004487&kclx=YJ,08-09,2,YJSKB,00001
00,YKC00112610AT0009904,同调代数,选修,3,,周四1-2单 一教210，周二1-2 一教210,1-16,周  健(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112610AT0009904&kclx=YJ,08-09,2,YJSKB,00001
