classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,yjkc20141000015738,随机模型及模拟方法选讲,选修,3,,周四7-9 二教420,1-16,李铁军(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20141000015738&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20141000015849,大数据分析中的算法,选修,3,本研合 理教302,周二10-12 ,1-16,文再文(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20141000015849&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20141100016097,非结构化大数据分析,必修,3,周四上午,- ,-,林伟(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20141100016097&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20141100016349,大数据统计建模,必修,3,周二上午,- ,-,房祥忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20141100016349&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20150900018768,几何分析与广义相对论讨论班,选修,3,,周二3-4 三教305,1-16,史宇光(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150900018768&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20150900018851,图像处理中的数学方法,选修,3,,周四3-4 三教507，周二5-6 三教507,1-12,董彬(预聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150900018851&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161000022071,微分拓扑选讲,选修,3,,周五5-6单 二教314，周一10-11 二教314,1-16,范后宏(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161000022071&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161000022241,现代数学物理选讲Ⅱ,选修,2,第9周开课,周一10-12 理教412,9-16,方博汉(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161000022241&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161100022402,示性类与指标理论简介,选修,2,本研合 二教413,周三7-8 ，周二7-8 ,2-16,张伟平(外聘),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161100022402&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161000022094,计算系统生物学,选修,3,,周二7-9 三教504,1-16,张磊(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161000022094&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161100022432,叶状结构,选修,3,,周三7-9 一教203,1-16,史逸(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161100022432&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161100022506,代数几何选讲,选修,3,,周四3-4 四教302，周二5-6 四教302,1-16,訚琪峥(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161100022506&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20161100022515,基础代数几何,选修,3,本研合 三教504,周五3-4双 ，周二1-2 ,1-16,蔡金星(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20161100022515&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20170200023176,最优化方法,选修,3,本研合 只允许计算专业之外的同学选修 二教311,周四7-8单 ，周二3-4 ,1-16,高立(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20170200023176&kclx=YJ,16-17,2,YJSKB,00001
00,yjkc20150100016722,图像重建与处理讨论班,选修,3,,周三7-8 文史215,1-16,杨建生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150100016722&kclx=YJ,16-17,2,YJSKB,00001
