classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
99,YKC00110010AT0004474,微分几何讨论班,选修,0,,周二5-7 文史312,1-19,陈维桓(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110010AT0004474&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110020AT0004475,同调论,必修,3,,周五1-2 哲学106，周三3-4 哲学106,1-19,姜伯驹(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110020AT0004475&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110030AT0004476,微分拓扑,必修,3,,周三5-7 四教223,1-19,张筑生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110030AT0004476&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110040AT0000022,交换代数,选修,3,,周五1-2单 ，周三3-4 ,1-19,王福正(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110040AT0000022&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110060AT0000024,有限群论,必修,3,,周四5-7 ,1-19,徐明耀(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110060AT0000024&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110100AT0004478,泛函分析 II,必修,3,,周二5-7 三教506,1-19,王正栋(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110120AT0004480,Riemann曲面,选修,3,,周四3-4 一教216，周二1-2单 一教216,1-19,李  忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110120AT0004480&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110130AT0004481,常微分方程的定性理论,必修,3,,周五3-4 三教503，周三1-2 三教503,1-19,王  铎(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110130AT0004481&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110150AT0004483,非线性分析基础,必修,3,,周五3-4 三教408，周二1-2双 一教216,1-19,刘嘉荃(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110150AT0004483&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110170AT0004485,代数数论,选修,3,,周日1-3 ,1-19,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110170AT0004485&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110190AT0004487,动力系统( 微分动力系统或拓扑动力系统 ),必修,3,,周四1-2 ，周二3-4双 ,1-19,文  兰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110190AT0004487&kclx=YJ,00-01,1,YJSKB,00001
000,YKC00110330AT0000040,几何分析,选修,3,,周四5-7 文史107,1-19,张恭庆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110330AT0000040&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110360AT0000043,经典力学中的数学方法,选修,3,,周三1-2双 ，周一3-4 ,1-19,刘旭峰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110360AT0000043&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110430AT0004492,李群与齐性空间,必修,3,,周一5-7 四教252,1-19,刘旭峰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110430AT0004492&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110530AT0000049,高等概率论,必修,4,,周三1-2单 ，周一3-4 ,9-19,陈大岳(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110530AT0000049&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110570AT0004501,高等统计学,必修,4,,周五1-2 一教208，周三3-4 一教208,1-19,蒋建成(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110570AT0004501&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110580AT0004502,阅读与专题科研训练 1,选修,3,,周三5-7 ,1-19,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110580AT0004502&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110590AT0004503,阅读与专题科研训练 II,选修,3,,周三5-7 ,1-19,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110590AT0004503&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110670AT0000054,概率统计应用实例选讲,选修,3,,周五3-4 理教116，周二7-8 理教116,1-19,谢衷洁(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110670AT0000054&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110700AT0000057,抽样调查,选修,3,,周三5-7 三教403,1-19,杨宝慧(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110700AT0000057&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110830AT0000069,数值代数 Ⅱ,必修,3,,周四5-7 三教406,1-19,高  立(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110830AT0000069&kclx=YJ,00-01,1,YJSKB,00001
00,YKC00110850AT0000071,控制系统CAD,选修,3,,周日1-3 ,1-19,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110850AT0000071&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00110960AT0000081,模式识别,必修,3,,周一5-7 四教254,1-19,许传祥(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110960AT0000081&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111090AT0000094,算法分析与设计,必修,3,,周三1-2单 ，周一3-4 ,1-19,裘宗燕(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111090AT0000094&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111160AT0000102,微分动力系统讨论班,选修,0,,周一5-7 四教144,1-19,文  兰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111160AT0000102&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111170AT0000103,拓扑学讨论班,选修,0,,周三5-7 文史106,1-19,姜伯驹(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111170AT0000103&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111190AT0004508,模表示论讨论班,选修,0,,周三5-7 文史219,1-19,张继平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111190AT0004508&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111220AT0000106,向量场分支理论讨论班,选修,0,,周三5-7 一教311,1-19,李承治(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111220AT0000106&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111230AT0000107,非线性分析讨论班,选修,0,,周一5-7 文史119,1-19,张恭庆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111230AT0000107&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111240AT0000108,几何分析讨论班,选修,0,,周三5-7 文史110,1-19,刘嘉荃(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111240AT0000108&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111270AT0000111,调和分析讨论班,选修,0,,周三5-7 四教145,1-19,彭立中(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111270AT0000111&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111280AT0000112,偏微分方程讨论班,选修,0,,周三5-7 一教216,1-19,陈亚浙(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111280AT0000112&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111300AT0000114,复分析讨论班,选修,0,,周一5-7 四教113,1-19,李  忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111300AT0000114&kclx=YJ,00-01,1,YJSKB,00001
99,YKC00111310AT0000115,代数数论讨论班,选修,0,,周二5-7 四教112,1-19,赵春来(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111310AT0000115&kclx=YJ,00-01,1,YJSKB,00001
