classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
04,YKC00110010AT0004474,微分几何讨论班,选修,0,HISZXJH,周一7-8 四教112,1-17,王长平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110010AT0004474&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110020AT0004475,同调论,必修,3,HISZXJH,周五1-2 四教212，周二1-2 四教212,5-17,姜伯驹(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110020AT0004475&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110030AT0004476,微分拓扑,必修,3,HISZXJH,周四7-8双 四教223，周二7-8 四教223,1-17,丁  帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110030AT0004476&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110040AT0000022,交换代数,必修,3,HISZXJH,周三7-8单 四教234，周一7-8 四教234,1-17,王福正(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110040AT0000022&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110100AT0004478,泛函分析 II,必修,3,HISZXJH,周三3-4双 三教108，周一1-2 三教108,1-17,刘嘉荃(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110130AT0004481,常微分方程的定性理论,必修,3,教室要低层HISZXJH,周三3-4单 三教404，周一3-4 三教401,1-17,李承治(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110130AT0004481&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110220AT0000029,李群和李代数,选修,3,研本合HISZXJH,周四3-4 ，周一7-8 ,1-9,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110220AT0000029&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110400AT0004489,随机分析,选修,3,大黑板HISZXJH,周三7-9 三教308,1-19,刘  勇(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110400AT0004489&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110530AT0000049,高等概率论,必修,4,HISZXJH,周五3-4 四教234，周二1-2 四教234,1-17,任艳霞(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110530AT0000049&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110570AT0004501,高等统计学,必修,4,HISZXJH,周四7-8 三教508，周一1-2 三教508,1-17,孙万龙(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110570AT0004501&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110620AT0004506,生存分析与可靠性,选修,3,HISZXJH,周二9-11 理教124,1-17,房祥忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110620AT0004506&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110780AT0000064,最优化理论与算法,选修,3,HISZXJH,周三3-4单 三教108，周一3-4 三教208,1-17,高  立(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110780AT0000064&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110830AT0000069,数值代数 Ⅱ,必修,3,HISZXJH,周二7-9 三教402,1-17,王  鸣(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110830AT0000069&kclx=YJ,05-06,1,YJSKB,00001
05,YKC00110960AT0000081,模式识别,必修,3,HISZXJH,周六7-9 数学1114,1-17,王春梅(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110960AT0000081&kclx=YJ,05-06,1,YJSKB,00001
