classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,yjkc20101100000237,金融数学与精算学专题选讲,选修,2,,周三10-12 理教417,1-16,吴岚(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20101100000237&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20111100006990,生物数学物理,选修,3,本研合 3#308,周四5-6单 ，周二7-8 ,1-16,葛颢,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20111100006990&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20131000012655,信息光学的数学理论及其应用,选修,3,理教215,周四10-11单 理教215，周二10-11 理教215,1-16,毛珩(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20131000012655&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20131100012820,数据挖掘,选修,3,三教  303,周二7-9 三教303,1-16,牟克典(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20131100012820&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20110500005160,算法与数论讨论班,选修,3,,周三5-6 理教214,1-16,田青春(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20110500005160&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20131200013589,Floer同调与低维拓扑,选修,3,3#106 本研合,周一10-12 ,1-16,王家军(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20131200013589&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20140100013767,应用偏微分方程选讲,选修,2,,周三7-8 三教103,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013767&kclx=YJ,13-14,2,YJSKB,00001
01,yjkc20140100013770,流形上的几何,选修,3,数学中心甲乙丙楼82J12 强化班,周四3-4 ，周一7-8 ,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013770&kclx=YJ,13-14,2,YJSKB,00001
01,yjkc20140100013772,几何群论,选修,3,强化班 数学中心甲乙丙楼82J12,周四7-8 ，周二3-4 ,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013772&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20140100013781,多复变函数,选修,2,本研合 数学中心全斋9号 ,周三10-11 ,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013781&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20121100010366,统计学习,选修,3,,周二7-9 一教303,1-16,姚远(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121100010366&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20121000010271,切触拓扑讨论班,选修,2,理教213,周五7-9 理教213,1-16,丁帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121000010271&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20121100010863,随机数学,必修,3,,周五3-4单 二教416，周二3-4 二教416,1-16,章复熹(副教授)，刘勇(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121100010863&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20131100013253,实用抽样调查,必修,3,,周五10-12 二教308,1-16,孙万龙(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20131100013253&kclx=YJ,13-14,2,YJSKB,00001
00,yjkc20140100013788,组合论专题讨论班,选修,3,,周一10-12 ,1-16,宋春伟(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013788&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110030AT0004476,微分拓扑,必修,3,,周四3-4双 二教316，周一1-2 二教316,1-16,丁帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110030AT0004476&kclx=YJ,13-14,2,YJSKB,00001
01,YKC00110100AT0004478,泛函分析 II,必修,3,数学中心甲乙丙楼82J12 强化班,周三7-8 ，周一3-4 ,1-16,郭懋正(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110110AT0004479,实分析,必修,3,,周五1-2双 三教307，周三3-4 三教307,1-16,刘和平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110110AT0004479&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110130AT0004481,常微分方程的定性理论,必修,3,,周四1-2双 三教205，周二3-4 三教205,1-16,廖刚(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110130AT0004481&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110170AT0004485,代数数论,选修,3,,周四3-4单 三教103，周二3-4 三教103,1-16,王福正(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110170AT0004485&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110190AT0004487,动力系统( 微分动力系统或拓扑动力系统 ),选修,3,大黑板,周三7-9 三教204,1-16,甘少波(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110190AT0004487&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110360AT0000043,经典力学中的数学方法,选修,3,,周一7-9 三教406,1-16,刘张炬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110360AT0000043&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110390AT0004488,纤维丛上的微分几何,选修,3,,周五3-4双 二教210，周三1-2 二教210,1-16,范后宏(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110390AT0004488&kclx=YJ,13-14,2,YJSKB,00001
00,YKC00110630AT0004507,多元统计分析,选修,3,本研合  理教308,周三1-2 ，周一1-2双 ,1-16,沈俊山(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110630AT0004507&kclx=YJ,13-14,2,YJSKB,00001
