classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,YKC00110180AT0004486,调和分析,选修,3,,周二9-11 一教304,1-16,章志飞(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110180AT0004486&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00134210AT0009645,人工神经网络,选修,3,,周三3-4单 文史113，周一3-4 文史113,1-16,马尽文(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00134210AT0009645&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110040AT0000022,交换代数,必修,3,,周五3-4单 一教102，周三3-4 一教102,1-16,王福正(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110040AT0000022&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110000AT0004473,黎曼几何引论,必修,3,,周四1-2双 二教306，周一7-8 二教306,1-16,王  嵬(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110000AT0004473&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110020AT0004475,同调论,必修,3,,周五3-4双 三教307，周二3-4 三教307,1-16,丁  帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110020AT0004475&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110130AT0004481,常微分方程的定性理论,必修,3,,周五7-8单 一教105，周二7-8 一教105,1-16,柳  彬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110130AT0004481&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110100AT0004478,泛函分析 II,必修,3,,周四7-8单 三教103，周二1-2 三教103,1-16,蒋美跃(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00112711AT0010863,抽象代数 Ⅱ,必修,3,,周三1-2单 三教407，周一3-4 三教407,1-16,蔡金星(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112711AT0010863&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110330AT0000040,几何分析,选修,3,,周五3-4单 二教424，周三7-8 二教424,1-16,朱小华(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110330AT0000040&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110360AT0000043,经典力学中的数学方法,选修,3,,周三7-9 一教208,1-16,刘张炬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110360AT0000043&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00111940AT0004544,遍历论,选修,3,,周三1-2 三教108，周一3-4单 三教106,1-16,孙文祥(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111940AT0004544&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00113170AT0010857,组合数学,选修,3,本研合HISZXJH,周四7-8双 ，周二1-2 ,1-16,宋春伟(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00113170AT0010857&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00111950AT0004545,密码学,选修,3,HISZXJH,周四3-4单 ，周一7-8 ,1-16,冯荣权(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111950AT0004545&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00113790AT0004614,偏微分方程,选修,3,本研合HISZXJH,周四3-4 ，周二1-2双 ,1-16,周蜀林(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00113790AT0004614&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00130110AT0010859,微分几何,选修,3,本研合HISZXJH,周四7-8 ，周二7-8单 ,1-16,马  翔(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00130110AT0010859&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00131610AT0004644,拓扑学,选修,3,本研合HISZXJH,周五5-6单 ，周三7-8 ,1-16,包志强(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00131610AT0004644&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110830AT0000069,数值代数 Ⅱ,必修,3,,周五3-4单 三教208，周三1-2 三教208,1-16,徐树方(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110830AT0000069&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110860AT0000072,并行计算 II,必修,3,,周五3-4双 文史219，周二1-2 文史219,1-16,李  若(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110860AT0000072&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110780AT0000064,最优化理论与算法,选修,3,偶数号教室HISZXJH,周四7-8单 一教304，周二3-4 一教304,1-16,高  立(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110780AT0000064&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00111850AT0004535,有限元方法 Ⅱ,选修,3,,周一7-9 一教112,1-16,王  鸣(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111850AT0004535&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00113690AT0000209,随机模拟方法,选修,3,,周三3-4双 一教203，周一3-4 一教203,1-16,李铁军(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00113690AT0000209&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00112700AT0004579,偏微分方程数值解,选修,3,本研合HISZXJH,周四3-4 ，周二7-8双 ,1-16,李治平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112700AT0004579&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00112630AT0010392,高等概率论,必修,3,,周五3-4 二教501，周三3-4单 二教501,1-16,蒋达权(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112630AT0010392&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00112640AT0010395,高等统计学,必修,3,,周三1-2双 一教102，周一7-8 一教102,1-16,何书元(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112640AT0010395&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00110620AT0004506,生存分析与可靠性,选修,3,,周四7-8单 一教106，周二1-2 一教106,1-16,沈俊山(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110620AT0004506&kclx=YJ,09-10,1,YJSKB,00001
00,YKC00112230AT0004567,高等统计选讲 I,选修,3,,周五7-8单 一教112，周三3-4 一教112,1-16,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00112230AT0004567&kclx=YJ,09-10,1,YJSKB,00001
