classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,yjkc20150400017272,随机过程引论,选修,3,本研合 理教314,周五1-2双 ，周三3-4 ,1-16,陈大岳(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150400017272&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20150600018238,多重算法和随机算法选讲,选修,3,本研合 三教205,周四1-2 ，周一1-2双 ,1-16,陈龙(外聘),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150600018238&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20150900018768,几何分析与广义相对论讨论班,选修,3,,周四3-4 ,1-4,史宇光,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150900018768&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20150400017483,现代数学物理选讲,选修,3,,周一10-12 理教412,1-16,方博汉(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150400017483&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20150100016722,图像重建与处理讨论班,选修,3,,周二7-8 文史205,1-16,杨建生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20150100016722&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20130600012356,典型群引论,选修,3,本研合 二教106,周一7-9 ,1-16,王杰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20130600012356&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20110500004923,信用衍生产品的定量分析,选修,2,,周三7-9 理教209,1-16,程雪(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20110500004923&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20110500005160,算法与数论讨论班,选修,3,,周三5-6 理教305,1-16,田青春(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20110500005160&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20121100010366,统计学习,选修,3,,周一7-9 理教310,1-16,姚远(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121100010366&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20121000010271,切触拓扑讨论班,选修,2,,周五7-8 三教406,1-16,丁帆(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121000010271&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20121100010863,随机数学,必修,3,,周二7-9 二教319,1-16,任艳霞(教授)，陈大岳(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20121100010863&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20140100013788,组合论专题讨论班,选修,3,,周一10-12 文史110,1-16,宋春伟(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140100013788&kclx=YJ,15-16,1,YJSKB,00001
00,yjkc20140400014302,凸优化,选修,3,本研合 二教501,周四7-9 ,1-16,文再文(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=yjkc20140400014302&kclx=YJ,15-16,1,YJSKB,00001
