classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,YKC00110010AT0004474,微分几何讨论班,选修,0,,周二5-7 四教118,1-18,王长平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110010AT0004474&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110020AT0004475,同调论,必修,3,,周四1-2单 理教120，周二3-4 理教120,1-18,姜伯驹(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110020AT0004475&kclx=YJ,01-02,1,YJSKB,00001
01,YKC00110030AT0004476,微分拓扑,必修,3,,周四5-7 一教208,1-18,张筑生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110030AT0004476&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110060AT0000024,有限群论,必修,3,,周日1-3 ,1-17,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110060AT0000024&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110060AT0000024,有限群论,必修,3,,周四1-2双 四教156，周一3-4 四教156,1-18,徐明耀(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110060AT0000024&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110090AT0004477,李代数,必修,3,,周五1-2 理教120，周三3-4单 理教120,1-18,刘旭峰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110090AT0004477&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110100AT0004478,泛函分析 II,必修,3,,周五3-4双 一教302，周三1-2 一教302,1-18,王正栋(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110100AT0004478,泛函分析 II,必修,3,,周五3-4双 一教302，周三1-2 一教302,1-18,王正栋(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110100AT0004478&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110150AT0004483,非线性分析基础,必修,3,,周二5-7 一教209,1-18,丁伟岳(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110150AT0004483&kclx=YJ,01-02,1,YJSKB,00001
00,YKC00110190AT0004487,动力系统( 微分动力系统或拓扑动力系统 ),选修,3,,周二5-7 ,1-18,文  兰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110190AT0004487&kclx=YJ,01-02,1,YJSKB,00001
