classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
00,YKC00110000AT0004473,黎曼几何引论,必修,3,,周三3-4 ，周一1-2单 ,1-17,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110000AT0004473&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110010AT0004474,微分几何讨论班,选修,0,,周二7-8 三教206,1-17,王长平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110010AT0004474&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110050AT0000023,群表示论,必修,3,,周五1-2双 ，周三1-2 ,1-17,丘维声(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110050AT0000023&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110110AT0004479,实分析,必修,3,,周四3-4 一教103，周二1-2双 一教103,1-17,彭立中(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110110AT0004479&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110130AT0004481,常微分方程的定性理论,必修,3,,周三1-2双 四教253，周一3-4 四教253,1-17,柳  彬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110130AT0004481&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110170AT0004485,代数数论,选修,3,,周三3-4单 四教242，周一1-2 三教208,1-17,高  峡(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110170AT0004485&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110180AT0004486,调和分析,选修,3,,周五3-4 数学1114，周三1-2单 数学1114,1-17,刘和平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110180AT0004486&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110290AT0000036,常微分方程选讲,选修,3,,周四1-2 一教104，周二3-4单 理教118,1-17,孙文祥(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110290AT0000036&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110350AT0000042,随机过程论,必修,4,,周五1-2 三教501，周二3-4 三教501,1-17,任艳霞(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110350AT0000042&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110360AT0000043,经典力学中的数学方法,选修,3,,周五1-2单 三教505，周二3-4 三教505,1-17,刘张炬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110360AT0000043&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110570AT0004501,高等统计学,必修,4,,周三5-6 理教110，周一3-4 理教217,1-17,蒋建成(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110570AT0004501&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110610AT0004505,非参数统计,选修,3,,周四3-4 ，周二1-2单 ,1-17,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110610AT0004505&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110720AT0000058,运筹学,选修,3,,周一7-9 四教222,1-17,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110720AT0000058&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110740AT0000060,图像处理的数学方法,必修,3,,周四1-2 理教112，周二3-4双 理教118,1-17,姜明,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110740AT0000060&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110820AT0000068,计算流体力学,选修,3,,周五3-4单 三教305，周三1-2 四教224,1-17,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110820AT0000068&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110940AT0000079,复分析,必修,3,,周三1-2双 四教222，周一3-4 地学113,1-17,李  忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110940AT0000079&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00110950AT0000080,人工智能,必修,3,,周三3-4 ，周一1-2双 ,1-17,林作铨(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00110950AT0000080&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111010AT0000086,信息论与信号处理,必修,3,,周四3-4 一教316，周二1-2单 一教316,1-17,程乾生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111010AT0000086&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111160AT0000102,微分动力系统讨论班,选修,0,,周二7-8 四教134,1-17,文  兰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111160AT0000102&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111170AT0000103,拓扑学讨论班,选修,0,,周二7-8 文史216,1-17,姜伯驹(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111170AT0000103&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111180AT0000104,常微分方程定性理论讨论班,选修,0,,周一7-8 四教131,1-17,柳  彬(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111180AT0000104&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111190AT0004508,模表示论讨论班,选修,0,,周二7-8 四教135,1-17,张继平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111190AT0004508&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111240AT0000108,几何分析讨论班,选修,0,,周三7-8 四教243,1-17,刘嘉荃(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111240AT0000108&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111270AT0000111,调和分析讨论班,选修,0,,周一7-8 三教505,1-17,彭立中(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111270AT0000111&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111280AT0000112,偏微分方程讨论班,选修,0,,周三7-8 四教132,1-17,陈亚浙(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111280AT0000112&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111300AT0000114,复分析讨论班,选修,0,,周一7-8 三教507,1-17,李  忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111300AT0000114&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111310AT0000115,代数数论讨论班,选修,0,,周三7-8 四教134,1-17,赵春来(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111310AT0000115&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111320AT0000116,低维流形讨论班,选修,0,,周一7-8 一教215,1-17,王诗(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111320AT0000116&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111340AT0004511,常微分方程讨论班,选修,0,,周三7-8 三教510,1-17,李承治(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111340AT0004511&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111360AT0004513,图像重建和图像分析讨论班,选修,0,,周二7-8 一教215,1-17,姜明,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111360AT0004513&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111430AT0000123,动力系统和遍历论讨论班,选修,0,,周二7-8 一教216,1-17,钱  敏,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111430AT0000123&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111460AT0000126,信号与信息处理讨论班,选修,0,,周三7-8 四教253,1-17,程乾生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111460AT0000126&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111480AT0000128,软件方法学与高级语言讨论班,选修,0,,周三7-8 三教503,1-17,张乃孝(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111480AT0000128&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111510AT0000130,图模型讨论班,选修,3,,周一7-9 四教223,1-17,耿  直(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111510AT0000130&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111550AT0000134,复分析讨论班,选修,0,,周一7-8 四教132,1-17,伍胜健(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111550AT0000134&kclx=YJ,02-03,2,YJSKB,00001
00,YKC00111570AT0004516,现代统计方法讨论班,选修,3,,周二7-8 理教124,1-17,郑忠国(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=YKC00111570AT0004516&kclx=YJ,02-03,2,YJSKB,00001
