classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
1,bkkc201600294437,贝叶斯理论与算法,任选,3,,周五7-8，周二5-6单,1-15,张成(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201600294437&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201900445940,现代数学物理选讲,任选,3,,周四7-8单，周二3-4,1-15,方博汉(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900445940&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201600295302,计算系统生物学,任选,3,,周四7-8双，周二5-6,1-15,张磊(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201600295302&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201700333168,多复变函数论选讲,任选,3,,周二10-12,1-15,关启安(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201700333168&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201900404817,期货衍生品理论与实务,任选,2,,周五10-12,1-15,李东风(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900404817&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201900421638,数论专题II,任选,3,,周三7-8，周一5-6双,1-15,袁新意(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900421638&kclx=BK,20-21,2,BKSKB,00001
1,bkkc201900436648,统计和生物统计中的因果推断,任选,3,,周四5-6，周二3-4双,1-15,ZHOU XIAOHUA(周晓华)(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900436648&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202000475417,表示论专题II,任选,3,,周五7-8，周三5-6单,1-15,余君(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202000475417&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202000479859,高等统计学II,任选,3,,周五3-4单，周三5-6,1-15,林伟(长聘副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202000479859&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202000480374,导出几何介绍,任选,2,,周五7-8,1-15,余越(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202000480374&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202100492258,Nijenhuis几何,任选,3,,周四10-11，周一10-11,1-16,Alexey V. Bolsinov(待定)，范辉军(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202100492258&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202100492234,可积系统,任选,3,,周四10-11，周二7-8,1-16,Sergey V. Smirnov(待定)，范辉军(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202100492234&kclx=BK,20-21,2,BKSKB,00001
1,bkkc202100492263,博弈论,任选,3,,周五10-11，周二10-11,1-16,范辉军(教授)，Elena Parilina(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202100492263&kclx=BK,20-21,2,BKSKB,00001
