classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
1,bkkc201400232838,本科生研讨班,任选,3,,周四10-11，周二10-11,1-5,阮勇斌(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400232838&kclx=BK,13-14,3,BKSKB,00001
1,bkkc201300212689,可再生能源与低碳社会,全校任选,2,,周五7-9，周四7-9，周三7-9，周二7-9，周一7-9,1-2,肖立新(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300212689&kclx=BK,13-14,3,BKSKB,00004
1,bkkc201200109306,量子力学专题,任选,2,,周五3-4，周四3-4，周三3-4，周二3-4，周一3-4,1-4,B. Rosenstein(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201200109306&kclx=BK,13-14,3,BKSKB,00004
1,BKC00432216AT0001012,量子力学 (Ⅱ),任选,2,,周五7-8，周四7-8，周二7-8，周一7-8,1-4,钱志新(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00432216AT0001012&kclx=BK,13-14,3,BKSKB,00004
1,bkkc201300212752,物理学科暑期专题研讨,任选,3,,周日1-8，周六1-8，周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-1,刘玉鑫(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300212752&kclx=BK,13-14,3,BKSKB,00004
1,BKC01130910AT0002163,生物学野外实习,任选,1,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-2,饶广远(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01130910AT0002163&kclx=BK,13-14,3,BKSKB,00011
1,bkkc201300222254,人类遗传学：连锁分析,任选,1.5,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,3-3,魏丽萍(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300222254&kclx=BK,13-14,3,BKSKB,00011
1,BKC01110326C39700R94,癌发生的分子和细胞学机制,任选,2,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-2,张文霞(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01110326C39700R94&kclx=BK,13-14,3,BKSKB,00011
1,bkkc201400229923,分子进化暑期课,任选,2,,周日7-11，周六7-11，周五7-11，周四7-11，周三7-11，周二7-11，周一7-11,3-3,陆剑(研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229923&kclx=BK,13-14,3,BKSKB,00011
1,BKC01209219C31420R78,综合地质实习,专业必修,2,,,1-4,魏春景(教授)，张进江(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01209219C31420R78&kclx=BK,13-14,3,BKSKB,00012
1,BKC01209219C31440R52,区域地质实习,专业必修,2,,,1-4,季建清(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01209219C31440R52&kclx=BK,13-14,3,BKSKB,00012
1,BKC01233170AT0002313,地震概论,通选课,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-4,赵克常(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01233170AT0002313&kclx=BK,13-14,3,BKSKB,00012
1,BKC01209515C33380R92,地震学野外实习,专业必修,2,,,1-4,周仕勇(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01209515C33380R92&kclx=BK,13-14,3,BKSKB,00012
1,BKC01209515C35260R50,3S野外综合实习,专业必修,1,,,1-4,田原(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01209515C35260R50&kclx=BK,13-14,3,BKSKB,00012
1,BKC01430870AT0002452,普通地质实习,专业必修,1,,,1-4,张志诚(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01430870AT0002452&kclx=BK,13-14,3,BKSKB,00012
2,BKC01430870AT0002452,普通地质实习,专业必修,1,,,1-4,黄宝春(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01430870AT0002452&kclx=BK,13-14,3,BKSKB,00012
1,BKC01431440AT0002510,珠宝鉴赏与珠宝文化,全校任选,2,,周四5-8，周一5-8,1-4,王长秋(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01431440AT0002510&kclx=BK,13-14,3,BKSKB,00012
1,BKC01630246AT0002876,电影与心理（心理压力应对篇）,任选,2,,周三5-8，周二5-8,1-4,易春丽(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01630246AT0002876&kclx=BK,13-14,3,BKSKB,00016
1,BKC01611408C30580R66,人际沟通分析学,全校任选,2,,周二1-4，周一1-4,1-4,杨眉(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01611408C30580R66&kclx=BK,13-14,3,BKSKB,00016
1,bkkc201400227483,工程心理学,全校任选,1,,周五5-8，周一5-8,1-2,何吉波(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400227483&kclx=BK,13-14,3,BKSKB,00016
1,bkkc201400228879,听视觉言语加工整合及其脑机制,全校任选,2,,周五1-2，周四5-8，周三1-2,1-4,李量(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400228879&kclx=BK,13-14,3,BKSKB,00016
1,BKC61030030AT0002917,朋辈心理辅导,全校任选,2,,周五2-8，周四2-8，周三2-8，周二2-8，周一2-8,1-1,刘海骅(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC61030030AT0002917&kclx=BK,13-14,3,BKSKB,00016
1,BKC01832910AT0003247,视频编辑,任选,2,,周五2-7，周四2-7，周三2-7，周二2-7，周一2-7,1-1,严富昌(高级工程师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01832910AT0003247&kclx=BK,13-14,3,BKSKB,00018
1,BKC01811408C33410R86,新媒体传播导论,任选,2,,周五5-7，周四5-7，周三5-7，周二5-7，周一5-7,2-3,洪家春(待定)，许静(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01811408C33410R86&kclx=BK,13-14,3,BKSKB,00018
1,bkkc201300214592,跨文化系列课程：国际领导力评估与培养,全校任选,1,,周五2-6，周四2-6，周三2-6,2-2,何惺(待定)，王异虹(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300214592&kclx=BK,13-14,3,BKSKB,00018
1,bkkc201400229946,跨文化系列课程：构建全球公民的跨文化传播能力,全校任选,2,,周五2-4，周四2-4，周三2-4，周二2-4，周一2-4,3-4,Janete Bennett(待定)，王异虹(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229946&kclx=BK,13-14,3,BKSKB,00018
1,bkkc201400229959,跨文化系列课程：表演艺术与跨文化传播解读,全校任选,2,,周五2-4，周四2-4，周三2-4，周二2-4，周一2-4,1-2,范颖(待定)，王异虹(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229959&kclx=BK,13-14,3,BKSKB,00018
1,BKC02030330AT0003362,民俗学,通选课,2,,周二1-4，周一1-4,1-4,陈泳超(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02030330AT0003362&kclx=BK,13-14,3,BKSKB,00020
1,BKC02108A17C31810R71,伊斯兰教与现代世界,通选课,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-4,昝涛(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02108A17C31810R71&kclx=BK,13-14,3,BKSKB,00021
1,BKC02309219C32311R64,佛教导论,通选课,2,,周五1-4，周四1-4，周二1-4，周一1-4,1-2,姚卫群(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02309219C32311R64&kclx=BK,13-14,3,BKSKB,00023
1,BKC02333180AT0004716,东西方哲学比较,限选,2,,周五5-8，周四5-8，周三5-8，周二5-8,3-4,韩林合(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02333180AT0004716&kclx=BK,13-14,3,BKSKB,00023
1,BKC02431710AT0005037,亚太概论,通选课,2,,周四1-4，周二1-4,1-4,陈峰君(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02431710AT0005037&kclx=BK,13-14,3,BKSKB,00024
1,BKC02530060AT0005112,微观经济学,通选课,3,,周五6-9，周四6-9，周二6-9，周一6-9,1-4,张元鹏(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02530060AT0005112&kclx=BK,13-14,3,BKSKB,00025
1,BKC02930871AT0005846,涉外民商事之法律适用,限选,2,,周二5-8，周一5-8,1-4,张潇剑(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC02930871AT0005846&kclx=BK,13-14,3,BKSKB,00029
1,BKC03032360AT0006056,中国文化史,通选课,2,,周四1-4，周三1-4，周二1-4，周一1-4,1-2,王锦贵(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03032360AT0006056&kclx=BK,13-14,3,BKSKB,00030
4,BKC03130400AT0006164,教育社会学思考,通选课,2,,周五1-4，周二1-4,1-4,钱民辉(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03130400AT0006164&kclx=BK,13-14,3,BKSKB,00031
1,BKC03835400AT0008084,美国短篇小说与电影,全校必修,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-5,马乃强(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03835400AT0008084&kclx=BK,13-14,3,BKSKB,00038
2,BKC03835400AT0008084,美国短篇小说与电影,全校必修,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-5,马乃强(讲师),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03835400AT0008084&kclx=BK,13-14,3,BKSKB,00038
1,bkkc201400229677,希腊与希伯来哲学,全校必修,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229677&kclx=BK,13-14,3,BKSKB,00038
2,bkkc201400229677,希腊与希伯来哲学,全校必修,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229677&kclx=BK,13-14,3,BKSKB,00038
1,bkkc201400229682,英美文学概况,全校必修,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229682&kclx=BK,13-14,3,BKSKB,00038
2,bkkc201400229682,英美文学概况,全校必修,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-4,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400229682&kclx=BK,13-14,3,BKSKB,00038
1,bkkc201300213251,美国文化概览,全校必修,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300213251&kclx=BK,13-14,3,BKSKB,00038
2,bkkc201300213251,美国文化概览,全校必修,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300213251&kclx=BK,13-14,3,BKSKB,00038
3,bkkc201300213251,美国文化概览,全校必修,2,,周五1-2，周四1-2，周三1-2，周二1-2，周一1-2,2-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300213251&kclx=BK,13-14,3,BKSKB,00038
4,bkkc201300213251,美国文化概览,全校必修,2,,周五3-4，周四3-4，周三3-4，周二3-4，周一3-4,2-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201300213251&kclx=BK,13-14,3,BKSKB,00038
1,BKC03810B16C35830R32,西方文化选读,全校必修,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03810B16C35830R32&kclx=BK,13-14,3,BKSKB,00038
2,BKC03810B16C35830R32,西方文化选读,全校必修,2,,周四3-4，周三3-4，周二3-4，周一3-4,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03810B16C35830R32&kclx=BK,13-14,3,BKSKB,00038
1,BKC03810B16C35860R54,英语公众演讲,全校必修,2,,周四5-6，周三5-6，周二5-6，周一5-6,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03810B16C35860R54&kclx=BK,13-14,3,BKSKB,00038
2,BKC03810B16C35860R54,英语公众演讲,全校必修,2,,周四7-8，周三7-8，周二7-8，周一7-8,1-5,,http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03810B16C35860R54&kclx=BK,13-14,3,BKSKB,00038
1,BKC03530190AT0006531,日本文化艺术专题,通选课,2,,周五8-11，周四8-11，周二8-11，周一8-11,1-2,滕军(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC03530190AT0006531&kclx=BK,13-14,3,BKSKB,00039
1,BKC04010416C31740R88,马克思主义基本原理概论,全校必修,3,,周二1-4，周一1-4,1-5,黄小寒(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC04010416C31740R88&kclx=BK,13-14,3,BKSKB,00040
1,BKC04130030AT0008193,太极拳,全校必修,1,,周日1-2，周六1-2，周五1-2，周四1-2，周三1-2，周二1-2，周一1-2,1-2,刘林青(助教),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC04130030AT0008193&kclx=BK,13-14,3,BKSKB,00041
2,BKC04130030AT0008193,太极拳,全校必修,1,,周日3-4，周六3-4，周五3-4，周四3-4，周三3-4，周二3-4，周一3-4,1-2,刘林青(助教),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC04130030AT0008193&kclx=BK,13-14,3,BKSKB,00041
1,BKC04130040AT0008195,健美操,全校必修,1,,周日1-2，周六1-2，周五1-2，周四1-2，周三1-2，周二1-2，周一1-2,1-2,刘林青(助教),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC04130040AT0008195&kclx=BK,13-14,3,BKSKB,00041
2,BKC04130040AT0008195,健美操,全校必修,1,,周日3-4，周六3-4，周五3-4，周四3-4，周三3-4，周二3-4，周一3-4,1-2,刘林青(助教),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC04130040AT0008195&kclx=BK,13-14,3,BKSKB,00041
