classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
1,bkkc201400244747,反射群和Coxeter群,任选,3,,周三3-4单，周一3-4,1-16,FUXIANG(助理研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400244747&kclx=BK,16-17,1,BKSKB,00001
1,bkkc201600294437,贝叶斯理论与算法,任选,3,,周二10-12,1-16,房祥忠(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201600294437&kclx=BK,16-17,1,BKSKB,00001
1,bkkc201400225376,应用偏微分方程选讲,任选,2,,周四7-9,1-16,章志飞(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400225376&kclx=BK,16-17,1,BKSKB,00001
1,bkkc201200204202,统计学习,任选,3,,周五1-2双，周三5-6,1-16,贾金柱(副研究员),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201200204202&kclx=BK,16-17,1,BKSKB,00001
1,bkkc201600294298,因果推断与统计大数据,任选,2,,周三7-9,1-16,周晓华(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201600294298&kclx=BK,16-17,1,BKSKB,00001
1,BKC00108516C10000R59,黎曼几何引论,任选,3,,周五1-2双，周二1-2,1-16,王嵬(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00108516C10000R59&kclx=BK,16-17,1,BKSKB,00001
1,BKC00110010AT0000006,同调论,任选,3,,周三7-8双，周一7-8,1-16,郑浩(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00110010AT0000006&kclx=BK,16-17,1,BKSKB,00001
1,BKC00110060AT0000011,算法设计与分析,任选,3,,周五1-2，周三3-4双,1-16,杨建生(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00110060AT0000011&kclx=BK,16-17,1,BKSKB,00001
1,BKC00110130AT0000018,泛函分析（二）,任选,3,,周四1-2单，周二3-4,1-16,王超(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00110130AT0000018&kclx=BK,16-17,1,BKSKB,00001
1,BKC00110150AT0000020,交换代数,任选,3,,周五3-4，周三1-2单,1-16,蔡金星(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00110150AT0000020&kclx=BK,16-17,1,BKSKB,00001
