classNo,courseId,courseName,courseType,credits,remark,scheduleTime,scheduleWeek,teacher,url,学年,学期,课表类型,开课系所
1,BKC00432216AT0001012,量子力学 (Ⅱ),任选,2,,周五7-8，周四7-8，周二7-8，周一7-8,1-4,钱志新(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC00432216AT0001012&kclx=BK,21-22,3,BKSKB,00004
1,bkkc202200541548,物理学科暑期专题研讨,任选,2,,周五1-8，周四1-8，周三1-8，周二1-8，周一1-8,1-1,李定平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200541548&kclx=BK,21-22,3,BKSKB,00004
1,bkkc201800339347,化工新概念,任选,1,,周五1-4，周四1-4，周二1-4，周一1-4,2-2,马莲(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201800339347&kclx=BK,21-22,3,BKSKB,00010
1,bkkc202100494743,植物细胞发育,任选,2,,周四1-4，周三1-4，周二1-4，周一1-4,3-4,瞿礼嘉(教授)，Juan Dong(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202100494743&kclx=BK,21-22,3,BKSKB,00011
1,bkkc201900410017,生物统计,专业必修,3,,周日2-4，周六2-4，周五2-4，周四2-4，周三2-4，周二2-4，周一2-4,1-3,成勤和(待定),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900410017&kclx=BK,21-22,3,BKSKB,00011
1,bkkc202000453537,衰老生物学,任选,2,,周五5-8，周四5-8，周二5-8，周一5-8,1-2,陶伟(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202000453537&kclx=BK,21-22,3,BKSKB,00011
1,bkkc201700309342,生命的逻辑,全校任选,2,,周五3-6，周三3-6，周一3-6,1-3,白书农(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201700309342&kclx=BK,21-22,3,BKSKB,00011
1,bkkc201900430410,北斗系统与时空智能,全校任选,2,,周四1-4，周三1-4，周二1-4，周一1-4,3-4,陈秀万(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201900430410&kclx=BK,21-22,3,BKSKB,00012
1,bkkc201400241566,普通地质实习A,专业必修,2,,,1-2,张志诚(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201400241566&kclx=BK,21-22,3,BKSKB,00012
1,bkkc202200542121,普通地质实习A讨论班,专业必修,0,,,1-2,张志诚(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200542121&kclx=BK,21-22,3,BKSKB,00012
2,bkkc202200542121,普通地质实习A讨论班,专业必修,0,,,1-2,朱永峰(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200542121&kclx=BK,21-22,3,BKSKB,00012
3,bkkc202200542121,普通地质实习A讨论班,专业必修,0,,,1-2,黄宝春(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200542121&kclx=BK,21-22,3,BKSKB,00012
1,bkkc201700313583,区域地质实习,专业必修,4,,,1-16,何涛(副教授)，吕增(副教授)，许成(教授)，李文博(副教授)，江大勇(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc201700313583&kclx=BK,21-22,3,BKSKB,00012
1,bkkc202200558079,沉积地层古生物综合实习,实习,2,,,1-16,孙元林(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200558079&kclx=BK,21-22,3,BKSKB,00012
1,bkkc202200558947,沉积地层古生物综合地质实习讨论班,限选,0,,,1-16,孙元林(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200558947&kclx=BK,21-22,3,BKSKB,00012
2,bkkc202200558947,沉积地层古生物综合地质实习讨论班,限选,0,,,1-16,关平(教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200558947&kclx=BK,21-22,3,BKSKB,00012
3,bkkc202200558947,沉积地层古生物综合地质实习讨论班,限选,0,,,1-16,孙作玉(副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200558947&kclx=BK,21-22,3,BKSKB,00012
4,bkkc202200558947,沉积地层古生物综合地质实习讨论班,限选,0,,,1-16,张元元(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202200558947&kclx=BK,21-22,3,BKSKB,00012
1,BKC01233170AT0002313,地震概论,通选课,2,,周四1-2，周三1-2，周二1-2，周一1-2,1-4,赵克常(教学副教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=BKC01233170AT0002313&kclx=BK,21-22,3,BKSKB,00012
1,bkkc202000468444,地球物理野外实习,专业必修,2,,,1-2,马坚伟(教授)，李秋根(副教授)，冯永革(高级工程师)，宁杰远(教授)，岳汉(助理教授),http://sims.pku.edu.cn/bkxjTeaching/edu/pku/stu/teaching/bkxj/jpf/courseBK/getCourseDetail.do?course_seq_no=bkkc202000468444&kclx=BK,21-22,3,BKSKB,00012
